Cidade,Estado,Sigla
Santo Hipólito,Minas Gerais,MG
Santos Dumont,Minas Gerais,MG
São Bento Abade,Minas Gerais,MG
São Brás do Suaçuí,Minas Gerais,MG
São Domingos das Dores,Minas Gerais,MG
São Domingos do Prata,Minas Gerais,MG
São Félix de Minas,Minas Gerais,MG
São Francisco,Minas Gerais,MG
São Francisco de Paula,Minas Gerais,MG
São Francisco de Sales,Minas Gerais,MG
São Francisco do Glória,Minas Gerais,MG
São Geraldo,Minas Gerais,MG
São Geraldo da Piedade,Minas Gerais,MG
São Geraldo do Baixio,Minas Gerais,MG
São Gonçalo do Abaeté,Minas Gerais,MG
São Gonçalo do Pará,Minas Gerais,MG
São Gonçalo do Rio Abaixo,Minas Gerais,MG
São Gonçalo do Rio Preto,Minas Gerais,MG
São Gonçalo do Sapucaí,Minas Gerais,MG
São Gotardo,Minas Gerais,MG
São João Batista do Glória,Minas Gerais,MG
São João da Lagoa,Minas Gerais,MG
São João da Mata,Minas Gerais,MG
São João da Ponte,Minas Gerais,MG
São João das Missões,Minas Gerais,MG
São João del Rei,Minas Gerais,MG
São João do Manhuaçu,Minas Gerais,MG
São João do Manteninha,Minas Gerais,MG
São João do Oriente,Minas Gerais,MG
São João do Pacuí,Minas Gerais,MG
São João do Paraíso,Minas Gerais,MG
São João Evangelista,Minas Gerais,MG
São João Nepomuceno,Minas Gerais,MG
